"Story","Title","Result","Date","Stability","Duration (s)"
"Consult of a user in the reqres.in API","Successful query of a user for his id","SUCCESS","2021-09-09T11:17:57.5162653-05:00[America/Bogota]","0.0","4.32"
"Login of a user in the reqres.in API","Successful login of a user","SUCCESS","2021-09-09T11:18:03.426839-05:00[America/Bogota]","0.0","0.78"
"Register of a user in the reqres.in API","Successful registration of a user","SUCCESS","2021-09-09T11:18:04.2675848-05:00[America/Bogota]","0.0","0.62"
